"city","lat","lng","country"
"Shaoyang","27.2395","111.4679","China"
"Surabaya","-7.2458","112.7378","Indonesia"
"Sūrat","21.2050","72.8400","India"
"Quanzhou","24.8744","118.6757","China"
"Shangrao","28.4551","117.9431","China"
"Zunyi","27.7220","107.0310","China"
"Madrid","40.4169","-3.7033","Spain"
"Baghdad","33.3153","44.3661","Iraq"
"Maoming","21.6627","110.9255","China"
"Miami","25.7840","-80.2101","United States"
"Xinyang","32.1490","114.0910","China"
"Houston","29.7860","-95.3885","United States"
"Singapore","1.3000","103.8000","Singapore"
"Prayagraj","25.4358","81.8464","India"
"Huanggang","30.4537","114.8724","China"
"Dalian","38.9000","121.6000","China"
"Ankara","39.9300","32.8500","Turkey"
"Dallas","32.7935","-96.7667","United States"
"Qingdao","36.0669","120.3827","China"
"Yulin","22.6540","110.1810","China"
"Liaocheng","36.4559","115.9852","China"
"Douala","4.0500","9.7000","Cameroon"
"Qujing","25.4910","103.7960","China"
"Nangandao","35.3036","113.9268","China"
"Addis Ababa","9.0300","38.7400","Ethiopia"
"Philadelphia","40.0077","-75.1339","United States"
"Toronto","43.7417","-79.3733","Canada"
"Zhengzhou","34.7640","113.6840","China"
"Nanchong","30.8372","106.1106","China"
"Jinan","36.6702","117.0207","China"
"Giza","29.9870","31.2118","Egypt"
"Saint Petersburg","59.9375","30.3086","Russia"
"Jieyang","23.5510","116.3727","China"
"Dezhou","37.4360","116.3590","China"
"Nairobi","-1.2864","36.8172","Kenya"
"Guadalajara","20.6767","-103.3475","Mexico"
"Tai’an","36.2020","117.0870","China"
"Dazhou","31.2093","107.4678","China"
"Belo Horizonte","-19.9281","-43.9419","Brazil"
"Suzhou","33.6480","116.9640","China"
"Monterrey","25.6844","-100.3181","Mexico"
"Yongzhou","26.4200","111.6130","China"
"Changde","29.0310","111.6990","China"
"Xiangyang","32.0100","112.1220","China"
"Atlanta","33.7628","-84.4220","United States"
"Pudong","31.2347","121.5064","China"
"Washington","38.9047","-77.0163","United States"
"Zhaotong","27.3380","103.7170","China"
"Zhangzhou","24.5130","117.6470","China"
"Yueyang","29.3647","113.1309","China"
"Melbourne","-37.8142","144.9631","Australia"
"Yichun","27.8160","114.4170","China"
"Abidjan","5.3364","-4.0267","Côte d’Ivoire"
"Guilin","25.2750","110.2960","China"
"Pingdingshan","33.7666","113.1926","China"
"Alexandria","31.1975","29.8925","Egypt"
"Bozhou","33.8463","115.7786","China"
"Sydney","-33.8667","151.2000","Australia"
"Barcelona","41.3833","2.1833","Spain"
"Yuncheng","35.0267","111.0070","China"
"Cape Town","-33.9253","18.4239","South Africa"
"Changsha","28.2280","112.9390","China"
"Suqian","33.9630","118.2750","China"
"Jeddah","21.5428","39.1728","Saudi Arabia"
"Weinan","34.5206","109.4710","China"
"Berlin","52.5200","13.4050","Germany"
"Chenzhou","25.7700","113.0160","China"
"Jiangmen","22.5789","113.0815","China"
"Mianyang","31.4680","104.6790","China"
"Jiujiang","29.6610","115.9540","China"
"Huaihua","27.5698","110.0016","China"
"Huanglongsi","34.7950","114.3450","China"
"Taizhou","32.4567","119.9229","China"
"Belāhi","26.4000","86.2500","India"
"Yibin","28.7520","104.6430","China"
"Ji’an","27.0912","114.9668","China"
"Yangzhou","32.3944","119.4128","China"
"Kunming","25.0464","102.7094","China"
"Changchun","43.8970","125.3260","China"
"Lu’an","31.7360","116.5200","China"
"Xinpu","34.5966","119.2214","China"
"Langfang","39.5383","116.6835","China"
"Boston","42.3188","-71.0852","United States"
"Ürümqi","43.8225","87.6125","China"
"Suzhou","31.3000","120.6194","China"
"Guigang","23.1120","109.5990","China"
"Shantou","23.3540","116.6820","China"
"Jiangguanchi","34.0370","113.8520","China"
"Kabul","34.5253","69.1783","Afghanistan"
"Xiaoganzhan","30.9180","113.9570","China"
"Bamako","12.6458","-7.9922","Mali"
"Kano","12.0000","8.5167","Nigeria"
"Luzhou","28.8710","105.4420","China"
"Hefei","31.8206","117.2273","China"
"Hengshui","37.7390","115.6690","China"
"Fortaleza","-3.7275","-38.5275","Brazil"
"Anqing","30.5318","117.1153","China"
"Zhangjiakou","40.7690","114.8860","China"
"Zhaoqing","23.0500","112.4667","China"
"Shijiazhuang","38.0425","114.5100","China"
"Ningbo","29.8603","121.6245","China"
"Qiqihar","47.3549","123.9182","China"
"Phoenix","33.5722","-112.0892","United States"
"Liuzhou","24.3278","109.4278","China"
"Chifeng","42.2550","118.8825","China"
"Xiaoxita","30.6920","111.2870","China"
"Amman","31.9497","35.9328","Jordan"
"Linfen","36.0880","111.5190","China"
"Xianyang","34.3299","108.7088","China"
"Chuzhou","32.2560","118.3330","China"
"Kumasi","6.7000","-1.6250","Ghana"
"Zhuzhou","27.8290","113.1330","China"
"Taiyuan","37.8704","112.5497","China"
"Qingyuan","23.6820","113.0560","China"
"Meizhou","24.2890","116.1220","China"
"Yiyang","28.5549","112.3560","China"
"Nanning","22.8167","108.3275","China"
"Harbin","45.7576","126.6409","China"
"Loudi","27.6998","111.9944","China"
"Abuja","9.0667","7.4833","Nigeria"
"Yokohama","35.4442","139.6381","Japan"
"Suihua","46.6540","126.9690","China"
"Binzhou","37.3830","117.9710","China"
"Zaozhuang","34.8109","117.3238","China"
"Detroit","42.3834","-83.1024","United States"
"Xiamen","24.4796","118.0889","China"
"Mashhad","36.3264","59.5433","Iran"
"Montréal","45.5089","-73.5617","Canada"
"Fuzhou","26.0743","119.2964","China"
"Wuhu","31.3526","118.4331","China"
"Medan","3.5894","98.6739","Indonesia"
"Yulinshi","38.2858","109.7341","China"
"Fuzhou","27.9490","116.3580","China"
"Wenzhou","27.9938","120.6993","China"
"Changzhou","31.8110","119.9740","China"
"Puyang","35.7627","115.0292","China"
"Nanchang","28.6830","115.8580","China"
"Baicheng","23.9030","106.6190","China"
"Seattle","47.6211","-122.3244","United States"
"Ibadan","7.3964","3.9167","Nigeria"
"Jiaozuo","35.2157","113.2419","China"
"Nādampālaiyam","11.0125","76.9714","India"
"Deyang","31.1270","104.3980","China"
"Busan","35.1800","129.0750","Korea
"Hechi","24.6930","108.0850","China"
"Tangshan","39.6294","118.1739","China"
"Lucknow","26.8500","80.9500","India"
"San Francisco","37.7558","-122.4449","United States"
"Boankra","6.6919","-1.4051","Ghana"
"Dubai","25.2631","55.2972","United Arab Emirates"
"Anshan","41.1080","122.9940","China"
"Guozhen","34.3609","107.1751","China"
"Baojishi","34.3630","107.2380","China"
"Qinzhou","21.9810","108.6540","China"
"Guiyang","26.6470","106.6300","China"
"Wuxi","31.5667","120.2833","China"
"Kannankulam","10.5200","76.2100","India"
"Caracas","10.4806","-66.9036","Venezuela"
"Kotla Qasim Khan","32.5833","73.7500","Pakistan"
"Casablanca","33.5333","-7.5833","Morocco"
"Hanzhong","33.0664","107.0232","China"
"Shiyan","32.6290","110.7987","China"
"Guang’an","30.4564","106.6326","China"
"Faisalabad","31.4167","73.0911","Pakistan"
"Changzhi","36.1950","113.1170","China"
"Tongren","27.7316","109.1895","China"
"Bengbu","32.9170","117.3890","China"
"Leshan","29.5520","103.7660","China"
"Santa Cruz de la Sierra","-17.7892","-63.1975","Bolivia"
"Neijiang","29.5802","105.0580","China"
"Zhenjiang","32.1880","119.4240","China"
"Qinhuangdao","39.8882","119.5202","China"
"Bursa","40.1833","29.0500","Turkey"
"Tashkent","41.3111","69.2797","Uzbekistan"
"Guayaquil","-2.1900","-79.8875","Ecuador"
"Jaipur","26.9000","75.8000","India"
"Lanzhou","36.0606","103.8268","China"
"Ouagadougou","12.3686","-1.5275","Burkina Faso"
"Athens","37.9842","23.7281","Greece"
"San Diego","32.8313","-117.1222","United States"
"Guatemala City","14.6417","-90.5133","Guatemala"
"Kuwait City","29.3697","47.9783","Kuwait"
"Qincheng","34.5815","105.7248","China"
"İzmir","38.4200","27.1400","Turkey"
"Quezon City","14.6500","121.0475","Philippines"
"Kyiv","50.4500","30.5233","Ukraine"
"Kottārasshēri","10.7750","76.6510","India"
"Meishan","30.0771","103.8484","China"
"Incheon","37.4833","126.6333","Korea
"Ningde","26.6662","119.5477","China"
"Zhongshan","22.5170","113.3925","China"
"Minneapolis","44.9635","-93.2678","United States"
"Tampa","27.9945","-82.4447","United States"
"Putian","25.4526","119.0078","China"
"Mbuji-Mayi","-6.1500","23.6000","Congo (Kinshasa)"
"Tongliao","43.6540","122.2430","China"
"Chaoyang","41.5710","120.4530","China"
"Hohhot","40.8420","111.7490","China"
"Pyongyang","39.0167","125.7475","Korea
"Shaoguan","24.8110","113.5970","China"
"Taichung","24.1439","120.6794","Taiwan"
"Cali","3.4206","-76.5222","Colombia"
"Heyuan","23.7443","114.7002","China"
"Wuzhou","23.4767","111.2790","China"
"Pretoria","-25.7461","28.1881","South Africa"
"Suining","30.5330","105.5930","China"
"Omdurman","15.6835","32.4629","Sudan"
"Weihai","37.5133","122.1205","China"
"Rizhao","35.4170","119.5270","China"
"Malang","-7.9800","112.6200","Indonesia"
"Stuttgart","48.7775","9.1800","Germany"
"Daqing","46.5890","125.1040","China"
"Rome","41.8931","12.4828","Italy"
"Kaohsiung","22.6150","120.2975","Taiwan"
"Brooklyn","40.6501","-73.9496","United States"
"Xiangtan","27.8313","112.9454","China"
"Bazhou","31.8680","106.7480","China"
"Handan","36.6010","114.4870","China"
"Brisbane","-27.4678","153.0281","Australia"
"Jinzhou","41.1290","121.1480","China"
"Denver","39.7620","-104.8758","United States"
"Xinzhou","38.4160","112.7340","China"
"Nanping","26.6418","118.1774","China"
"Gāzipura","23.9234","90.3959","Bangladesh"
"Shanwei","22.7872","115.3756","China"
"Maracaibo","10.6333","-71.6333","Venezuela"
"Chaozhou","23.6580","116.6220","China"
"Baotou","40.6213","109.9532","China"
"Longyan","25.0760","117.0170","China"
"Weifang","36.7080","119.1620","China"
"Huai’an","33.5510","119.1130","China"
"Zibo","36.8138","118.0550","China"
"Attadappa","11.8689","75.3555","India"
"Munich","48.1375","11.5750","Germany"
"Gulou","26.0865","119.2980","China"
"Birmingham","52.4800","-1.9025","United Kingdom"
"Valencia","10.1833","-68.0000","Venezuela"
"Damascus","33.5020","36.2981","Syria"
"Chattogram","22.3350","91.8325","Bangladesh"
"Brazzaville","-4.2667","15.2667","Congo (Brazzaville)"
"Yangjiang","21.8570","111.9830","China"
"Sanaa","15.3483","44.2064","Yemen"
"Barmhān Kalān","19.1972","72.9722","India"
"Medellín","6.2308","-75.5906","Colombia"
"Dingxi","35.6080","104.5920","China"
"Shaoxing","30.0511","120.5833","China"
"Yantai","37.4646","121.4478","China"
"Huizhou","23.1120","114.4160","China"
"Xuanzhou","30.9390","118.7590","China"
"Mirzāpur","25.1460","82.5690","India"
"Hamburg","53.5500","10.0000","Germany"
"Taipei","25.0375","121.5625","Taiwan"
"Ankang","32.6854","109.0290","China"
"Zigong","29.3390","104.7790","China"
"Sanming","26.2634","117.6389","China"
"Toluca","19.2925","-99.6569","Mexico"
"Huangshi","30.2011","115.0390","China"
"Yaoundé","3.8667","11.5167","Cameroon"
"Zhuhai","22.2742","113.5719","China"
"Huludao","40.7110","120.8370","China"
"Baoshan","25.1120","99.1610","China"
"Mecca","21.4225","39.8261","Saudi Arabia"
"Vancouver","49.2500","-123.1000","Canada"
"Lianshan","40.7523","120.8280","China"
"Beirut","33.8981","35.5058","Lebanon"
"Salvador","-12.9831","-38.4928","Brazil"
"Bucharest","44.4325","26.1039","Romania"
"Longba","33.3702","104.9603","China"
"Nāgpur","21.1497","79.0806","India"
"Queens","40.7498","-73.7976","United States"
"Tieling","42.2237","123.7260","China"
"Yunfu","22.9152","112.0445","China"
"Bekasi","-6.2333","107.0000","Indonesia"
"Daegu","35.8717","128.6017","Korea
"Ghāziābād","28.6700","77.4200","India"
"Luoyang","34.6197","112.4539","China"
"Luohe","33.5804","114.0166","China"
"Algiers","36.7325","3.0872","Algeria"
"Anshun","26.2531","105.9476","China"
"Huainan","32.6314","117.0194","China"
"Depok","-6.3940","106.8225","Indonesia"
"Konya","37.8667","32.4833","Turkey"
"Haiphong","20.8651","106.6838","Vietnam"
"Yanjiang","30.1290","104.6270","China"
"Guangyuan","32.4360","105.8440","China"
"Baku","40.3667","49.8352","Azerbaijan"
"Yingkou","40.6250","122.2190","China"
"Mudanjiang","44.5514","129.6329","China"
"Riverside","33.9381","-117.3949","United States"
"Fukuoka","33.5900","130.4017","Japan"
"Nantong","31.9810","120.8940","China"
"Lincang","23.8840","100.0890","China"
"Las Vegas","36.2333","-115.2654","United States"
"Haikou","20.0186","110.3488","China"
"Yuxi","24.3470","102.5270","China"
"Tangerang","-6.1703","106.6403","Indonesia"
"Supaul","26.1260","86.6050","India"
"Almaty","43.2400","76.9150","Kazakhstan"
"Vienna","48.2083","16.3725","Austria"
"Eşfahān","32.6653","51.6703","Iran"
"Xining","36.6224","101.7804","China"
"Jincheng","35.4910","112.8520","China"
"Baltimore","39.3051","-76.6144","United States"
"Dandong","40.1167","124.3833","China"
"Yan’an","36.6500","109.4940","China"
"Qinbaling","35.7091","107.6436","China"
"Gaoping","30.7824","106.1281","China"
"Awka","6.2069","7.0678","Nigeria"
"Taizhou","28.6557","121.4208","China"
"Ma’anshan","31.6690","118.5070","China"
"Jiamusi","46.8000","130.3190","China"
"Perth","-31.9558","115.8597","Australia"
"Gaziantep","37.0628","37.3792","Turkey"
"Phnom Penh","11.5696","104.9210","Cambodia"
"St. Louis","38.6359","-90.2451","United States"
"Mogadishu","2.0392","45.3419","Somalia"
"Lishui","28.4680","119.9230","China"
"Kowloon","22.3167","114.1833","Hong Kong"
"Córdoba","-31.4167","-64.1833","Argentina"
"Zamboanga City","6.9042","122.0761","Philippines"
"Rawalpindi","33.6000","73.0333","Pakistan"
"Havana","23.1367","-82.3589","Cuba"
"Chongzuo","22.3770","107.3650","China"
"Portland","45.5371","-122.6500","United States"
"Laibin","23.7501","109.2212","China"
"San Antonio","29.4632","-98.5238","United States"
"Vadodara","22.3000","73.2000","India"
"Qingyang","24.7816","118.5517","China"
"Rājkot","22.3000","70.7833","India"
"Shangzhou","33.8734","109.9186","China"
"Vishākhapatnam","17.7042","83.2978","India"
"Shengli","37.4340","118.6746","China"
"Sanmenxia","34.7732","111.2004","China"
"Warsaw","52.2300","21.0111","Poland"
"Gujranwala","32.1567","74.1900","Pakistan"
"Hezhou","24.4042","111.5672","China"
"Aleppo","36.2319","37.1681","Syria"
"Tijuana","32.5250","-117.0333","Mexico"
"Puning","23.2980","116.1660","China"
"Indore","22.7167","75.8472","India"
"Minsk","53.9006","27.5586","Belarus"
"Karaj","35.8292","50.9675","Iran"
"Kananga","-5.8970","22.4488","Congo (Kinshasa)"
"Huaibei","33.9560","116.7980","China"
"Peshawar","34.0144","71.5675","Pakistan"
"Sacramento","38.5677","-121.4685","United States"
"Sapporo","43.0619","141.3544","Japan"
"Tilburg","51.5572","5.0911","Netherlands"
"Austin","30.3005","-97.7522","United States"
"Orlando","28.4773","-81.3370","United States"
"Davao","7.0700","125.6000","Philippines"
"Songjiang","31.0058","121.2333","China"
"Yinchuan","38.4850","106.2250","China"
"Abhepur","39.4100","116.3800","India"
"Thāne","19.1972","72.9722","India"
"Multan","30.1978","71.4697","Pakistan"
"Port Harcourt","4.8242","7.0336","Nigeria"
"Fushun","41.8810","123.9570","China"
"Tainan","22.9833","120.1833","Taiwan"
"Pingliang","35.5424","106.6649","China"
"Siping","43.1668","124.3506","China"
"San Juan","18.3985","-66.0610","Puerto Rico"
"Pingxiang","27.6590","113.8870","China"
"Bhopāl","23.2599","77.4126","India"
"Mosul","36.3667","43.1167","Iraq"
"Diyarbakır","37.9100","40.2400","Turkey"
"Lubumbashi","-11.6647","27.4794","Congo (Kinshasa)"
"Benin City","6.3333","5.6222","Nigeria"
"Curitiba","-25.4297","-49.2719","Brazil"
"San Jose","37.3012","-121.8480","United States"
"Shuyangzha","34.1299","118.7734","China"
"Adana","37.0000","35.3213","Turkey"
"Quito","-0.2200","-78.5125","Ecuador"
"Āgra","27.1800","78.0200","India"
"Peyanvilai","8.9000","77.9833","India"
"Lusaka","-15.4167","28.2833","Zambia"
"Indianapolis","39.7771","-86.1458","United States"
"Hyderabad City","25.3792","68.3683","Pakistan"
"Pimpri-Chinchwad","18.6186","73.8037","India"
"Maracay","10.2469","-67.5961","Venezuela"
"Masqaţ","23.6140","58.5911","Oman"
"Montevideo","-34.9056","-56.1842","Uruguay"
"Pittsburgh","40.4397","-79.9763","United States"
"Cincinnati","39.1413","-84.5060","United States"
"Manhattan","40.7834","-73.9662","United States"
"Kansas City","39.1238","-94.5541","United States"
"Budapest","47.4983","19.0408","Hungary"
"Patna","25.5940","85.1376","India"
"Kampala","0.3136","32.5811","Uganda"
"Beihai","21.4810","109.1200","China"
"Sanzhou","30.8200","108.4000","China"
"Cleveland","41.4764","-81.6805","United States"
"Conakry","9.5092","-13.7122","Guinea"
"Ximeicun","24.9612","118.3849","China"
"Caloocan City","14.6500","120.9700","Philippines"
"Ecatepec","19.6097","-99.0600","Mexico"
"Yushan","31.3220","120.9850","China"
"Fuxin","42.0220","121.6700","China"
"Novosibirsk","55.0500","82.9500","Russia"
"Bilāspur","22.0900","82.1500","India"
"Semarang","-6.9900","110.4225","Indonesia"
"Jingdezhen","29.2917","117.1986","China"
"Ludhiāna","30.9100","75.8500","India"
"Liaoyang","41.2790","123.1760","China"
"Jiangyin","31.8390","120.2950","China"
"Valencia","39.4700","-0.3764","Spain"
"Shuozhou","39.3317","112.4329","China"
"León de los Aldama","21.1167","-101.6833","Mexico"
"Columbus","39.9862","-82.9855","United States"
"Puebla","19.0333","-98.1833","Mexico"
"Biên Hòa","10.9500","106.8167","Vietnam"
"Chengtangcun","35.0833","117.1500","China"
"Yopougon","5.3748","-4.0867","Côte d’Ivoire"
"Hebi","35.7480","114.2970","China"
"Shīrāz","29.6100","52.5425","Iran"
"Dushanbe","38.5367","68.7800","Tajikistan"
"Madurai","9.9252","78.1198","India"
"Huzhou","30.8925","120.0875","China"
"Harare","-17.8292","31.0522","Zimbabwe"
"Tabrīz","38.0817","46.2992","Iran"
"Jamshedpur","22.7925","86.1842","India"
"Baicheng","45.6200","122.8380","China"
"San José","9.9325","-84.0800","Costa Rica"
"Shaoyang","32.9120","119.8526","China"
"San Salvador","13.6989","-89.1914","El Salvador"
"Palembang","-2.9861","104.7556","Indonesia"
"Kawasaki","35.5167","139.7000","Japan"
"Kōbe","34.6900","135.1956","Japan"
"Jiaxing","30.7470","120.7560","China"
"Zhangjiajie","29.1170","110.4790","China"
"Baiyin","36.5451","104.1389","China"
"Guiping","23.4000","110.0833","China"
"Changshu","31.6560","120.7530","China"
"Jixi","45.2950","130.9690","China"
"Xushan","30.1667","121.2333","China"
"Lomé","6.1308","1.2153","Togo"
"Niamey","13.5150","2.1175","Niger"
"Gwangju","35.1653","126.8486","Korea
"Recife","-8.0539","-34.8808","Brazil"
"Nāsik","19.9975","73.7898","India"
"Abu Dhabi","24.4667","54.3667","United Arab Emirates"
"Onitsha","6.1667","6.7833","Nigeria"
"Amsterdam","52.3728","4.8936","Netherlands"
"Vijayavāda","16.5193","80.6305","India"
"Zapopan","20.7167","-103.4000","Mexico"
"Daejeon","36.3500","127.3850","Korea
"Bronx","40.8501","-73.8662","United States"
"Auckland","-36.8492","174.7653","New Zealand"
"Yekaterinburg","56.8356","60.6128","Russia"
"Wuwei","37.9290","102.6380","China"
"Jinhua","29.0790","119.6470","China"
"Kyōto","35.0117","135.7683","Japan"
"Pizhou","34.3980","117.8900","China"
"Yangshe","31.8767","120.5560","China"
"Dakar","14.6726","-17.4320","Senegal"
"Charlotte","35.2083","-80.8303","United States"
"Yucheng","30.0100","103.0415","China"
"Kayseri","38.7225","35.4875","Turkey"
"Virginia Beach","36.7335","-76.0435","United States"
"Rui’an","27.7833","120.6250","China"
"Muscat","23.6139","58.5922","Oman"
"Kharkiv","49.9925","36.2311","Ukraine"
"Pointe-Noire","-4.7975","11.8503","Congo (Brazzaville)"
"Medina","24.4700","39.6100","Saudi Arabia"
"Sangereng","-6.2889","106.7181","Indonesia"
"Farīdābād","28.4211","77.3078","India"
"Sofia","42.6979","23.3217","Bulgaria"
"Ulaanbaatar","47.9214","106.9055","Mongolia"
"Adelaide","-34.9275","138.6000","Australia"
"Prague","50.0875","14.4214","Czechia"
"Wenling","28.3667","121.3667","China"
"Copenhagen","55.6805","12.5615","Denmark"
"Najafgarh","28.6125","76.9847","India"
"Lianjiang","21.7333","110.2833","China"
"Helsinki","60.1708","24.9375","Finland"
"Samsun","41.2903","36.3336","Turkey"
"Milan","45.4669","9.1900","Italy"
"Antalya","36.8874","30.7075","Turkey"
"Santiago","19.4572","-70.6889","Dominican Republic"
"Chizhou","30.6654","117.4916","China"
"Makassar","-5.1331","119.4136","Indonesia"
"Porto Alegre","-30.0328","-51.2300","Brazil"
"Huangshan","29.7149","118.3376","China"
"Gaozhou","21.9244","110.8422","China"
"Barranquilla","10.9833","-74.8019","Colombia"
"Al Başrah","30.5150","47.8100","Iraq"
"Benxi","41.3039","123.7649","China"
"Saitama","35.8614","139.6456","Japan"
"Ahvāz","31.3047","48.6783","Iran"
"Guarulhos","-23.4667","-46.5333","Brazil"
"Leizhou","20.9143","110.0967","China"
"Juárez","31.7450","-106.4850","Mexico"
"Mandalay","21.9831","96.0844","Burma"
"Yangquan","37.8571","113.5804","China"
"Fuqing","25.7167","119.3833","China"
"Xintai","35.9090","117.7680","China"
"Wusong","30.9450","117.8110","China"
"Tongling","30.9456","117.8114","China"
"Calgary","51.0500","-114.0667","Canada"
"Meerut","28.9800","77.7100","India"
"Jacksonville","30.3322","-81.6749","United States"
"Kuaidamao","41.7283","125.9397","China"
"Huazhou","21.6640","110.6396","China"
"Milwaukee","43.0642","-87.9675","United States"
"Wuzhong","37.9978","106.1986","China"
"Belém","-1.4558","-48.5039","Brazil"
"Cacuaco","-8.8053","13.2444","Angola"
"Rosario","-32.9575","-60.6394","Argentina"
"Tangier","35.7767","-5.8039","Morocco"
"Antananarivo","-18.9100","47.5250","Madagascar"
"Canagatan","18.0000","121.8000","Philippines"
"Soweto","-26.2678","27.8585","South Africa"
"Providence","41.8230","-71.4187","United States"
"Xiantao","30.3280","113.4430","China"
"Jabalpur","23.1667","79.9333","India"
"Huaiyin","33.5819","119.0280","China"
"Yutan","28.2780","112.5520","China"
"Kazan","55.7964","49.1089","Russia"
"Bagam","1.1300","104.0531","Indonesia"
"Dayan","26.8552","100.2259","China"
"Comayagüela","14.0980","-87.2100","Honduras"
"Brussels","50.8467","4.3525","Belgium"
"Laiwu","36.1833","117.6667","China"
"Huazhou","32.6880","112.0870","China"
"Sharjah","25.3575","55.3908","United Arab Emirates"
"Kalyān","19.2400","73.1300","India"
"Rucheng","32.2460","120.5910","China"
"Barquisimeto","10.0636","-69.3347","Venezuela"
"Yongcheng","33.9299","116.4500","China"
"Sumedang","-6.8400","107.9208","Indonesia"
"Cần Thơ","10.0333","105.7833","Vietnam"
"Suwon","37.2667","127.0167","Korea
"Yiwu","29.3069","120.0753","China"
"Vasai-Virar","19.4700","72.8000","India"
"Campinas","-22.9009","-47.0573","Brazil"
"Dadukou","26.5824","101.7184","China"
"Lingcheng","22.7080","110.3540","China"
"Shuangyashan","46.6762","131.1416","China"
"Nizhniy Novgorod","56.3269","44.0075","Russia"
"Pānīpat","29.3875","76.9700","India"
"Qom","34.6400","50.8764","Iran"
"Mombasa","-4.0500","39.6667","Kenya"
"Hargeysa","9.5600","44.0650","Somalia"
"Baidoa","3.1167","43.6500","Somalia"
"Vārānasi","25.3189","83.0128","India"
"Hiroshima","34.3914","132.4519","Japan"
"Chiang Mai","18.7953","98.9986","Thailand"
"Belgrade","44.8178","20.4569","Serbia"
"Maiduguri","11.8372","13.1542","Nigeria"
"Kalleli","9.2807","76.8697","India"
"Batam Centre","1.1272","104.0556","Indonesia"
"Pingdu","36.7769","119.9884","China"
"Rongcheng","26.2180","104.1030","China"
"Mbandaka","0.0478","18.2558","Congo (Kinshasa)"
"Xinyu","27.8186","114.9167","China"
"Doha","25.2867","51.5333","Qatar"
"Shymkent","42.3167","69.5958","Kazakhstan"
"Tripoli","32.8872","13.1914","Libya"
"Srīnagar","34.0900","74.7900","India"
"Nashville","36.1715","-86.7842","United States"
"Chelyabinsk","55.1547","61.3758","Russia"
"Aurangābād","19.8800","75.3200","India"
"Cilacap","-7.7167","109.0170","Indonesia"
"Xinhualu","34.3964","113.7402","China"
